"CountryCode","GenderCode","LifeExpectancy","LowestPricEstTobacco","MediumPriceEstTobacco","Mortality","PremiumPricEstTobacco","TobaccoPrevalence","TotalTax"
"NPL","BTSX",4,1,7,20,1,8,7
"NPL","FMLE",4,0,0,20,0,8,0
"NPL","MLE",4,0,0,20,0,8,0
"NRU","BTSX",0,1,5,0,0,8,5
"NRU","FMLE",0,0,0,0,0,8,0
"NRU","MLE",0,0,0,0,0,8,0
"NZL","BTSX",4,1,7,20,1,8,7
"NZL","FMLE",4,0,0,20,0,8,0
"NZL","MLE",4,0,0,20,0,8,0
"OMN","BTSX",4,1,7,20,1,8,7
"OMN","FMLE",4,0,0,20,0,8,0
"OMN","MLE",4,0,0,20,0,8,0
"PAK","BTSX",4,1,7,20,1,8,7
"PAK","FMLE",4,0,0,20,0,8,0
"PAK","MLE",4,0,0,20,0,8,0
"PAN","BTSX",4,1,7,20,0,8,7
"PAN","FMLE",4,0,0,20,0,8,0
"PAN","MLE",4,0,0,20,0,8,0
"PER","BTSX",4,1,7,20,1,8,7
"PER","FMLE",4,0,0,20,0,8,0
"PER","MLE",4,0,0,20,0,8,0
"PHL","BTSX",4,1,7,20,1,8,7
"PHL","FMLE",4,0,0,20,0,8,0
"PHL","MLE",4,0,0,20,0,8,0
"PLW","BTSX",0,1,7,0,1,8,7
"PLW","FMLE",0,0,0,0,0,8,0
"PLW","MLE",0,0,0,0,0,8,0
"PNG","BTSX",4,0,6,20,0,8,6
"PNG","FMLE",4,0,0,20,0,8,0
"PNG","MLE",4,0,0,20,0,8,0
"POL","BTSX",4,1,7,20,1,8,7
"POL","FMLE",4,0,0,20,0,8,0
"POL","MLE",4,0,0,20,0,8,0
"PRK","BTSX",4,1,5,20,1,8,4
"PRK","FMLE",4,0,0,20,0,8,0
"PRK","MLE",4,0,0,20,0,8,0
"PRT","BTSX",4,1,7,20,1,8,7
"PRT","FMLE",4,0,0,20,0,8,0
"PRT","MLE",4,0,0,20,0,8,0
"PRY","BTSX",4,1,7,20,1,8,7
"PRY","FMLE",4,0,0,20,0,8,0
"PRY","MLE",4,0,0,20,0,8,0
"PSE","BTSX",0,1,7,0,1,0,6
"QAT","BTSX",4,1,7,20,1,8,7
"QAT","FMLE",4,0,0,20,0,8,0
"QAT","MLE",4,0,0,20,0,8,0
"ROU","BTSX",4,1,7,20,1,8,7
"ROU","FMLE",4,0,0,20,0,8,0
"ROU","MLE",4,0,0,20,0,8,0
"RUS","BTSX",4,1,7,20,1,8,7
"RUS","FMLE",4,0,0,20,0,8,0
"RUS","MLE",4,0,0,20,0,8,0
"RWA","BTSX",4,1,7,20,1,8,7
"RWA","FMLE",4,0,0,20,0,8,0
"RWA","MLE",4,0,0,20,0,8,0
"SAU","BTSX",4,1,7,20,1,8,7
"SAU","FMLE",4,0,0,20,0,8,0
"SAU","MLE",4,0,0,20,0,8,0
"SDN","BTSX",4,1,7,20,1,0,7
"SDN","FMLE",4,0,0,20,0,0,0
"SDN","MLE",4,0,0,20,0,0,0
"SEN","BTSX",4,1,7,20,1,8,7
"SEN","FMLE",4,0,0,20,0,8,0
"SEN","MLE",4,0,0,20,0,8,0
"SGP","BTSX",4,1,7,20,1,8,7
"SGP","FMLE",4,0,0,20,0,8,0
"SGP","MLE",4,0,0,20,0,8,0
"SLB","BTSX",4,0,4,20,0,8,4
"SLB","FMLE",4,0,0,20,0,8,0
"SLB","MLE",4,0,0,20,0,8,0
"SLE","BTSX",4,1,7,20,1,8,7
"SLE","FMLE",4,0,0,20,0,8,0
"SLE","MLE",4,0,0,20,0,8,0
"SLV","BTSX",4,1,7,20,1,8,7
"SLV","FMLE",4,0,0,20,0,8,0
"SLV","MLE",4,0,0,20,0,8,0
"SMR","BTSX",0,0,4,0,0,0,4
"SOM","BTSX",4,1,6,20,1,0,6
"SOM","FMLE",4,0,0,20,0,0,0
"SOM","MLE",4,0,0,20,0,0,0
"SRB","BTSX",4,1,7,20,1,8,7
"SRB","FMLE",4,0,0,20,0,8,0
"SRB","MLE",4,0,0,20,0,8,0
"SSD","BTSX",4,0,2,20,1,0,2
"SSD","FMLE",4,0,0,20,0,0,0
"SSD","MLE",4,0,0,20,0,0,0
"STP","BTSX",4,1,7,20,1,8,7
"STP","FMLE",4,0,0,20,0,8,0
"STP","MLE",4,0,0,20,0,8,0
"SUR","BTSX",4,1,7,20,1,0,7
"SUR","FMLE",4,0,0,20,0,0,0
"SUR","MLE",4,0,0,20,0,0,0
"SVK","BTSX",4,1,7,20,1,8,7
"SVK","FMLE",4,0,0,20,0,8,0
"SVK","MLE",4,0,0,20,0,8,0
"SVN","BTSX",4,1,7,20,1,8,7
"SVN","FMLE",4,0,0,20,0,8,0
"SVN","MLE",4,0,0,20,0,8,0
"SWE","BTSX",4,1,7,20,1,8,7
"SWE","FMLE",4,0,0,20,0,8,0
"SWE","MLE",4,0,0,20,0,8,0
"SWZ","BTSX",4,0,6,20,0,8,6
"SWZ","FMLE",4,0,0,20,0,8,0
"SWZ","MLE",4,0,0,20,0,8,0
"SYC","BTSX",4,1,7,20,1,8,7
"SYC","FMLE",4,0,0,20,0,8,0
"SYC","MLE",4,0,0,20,0,8,0
"SYR","BTSX",4,1,6,20,0,0,6
"SYR","FMLE",4,0,0,20,0,0,0
"SYR","MLE",4,0,0,20,0,0,0
"TCD","BTSX",4,1,7,20,1,8,7
"TCD","FMLE",4,0,0,20,0,8,0
"TCD","MLE",4,0,0,20,0,8,0
"TGO","BTSX",4,1,7,20,1,8,7
"TGO","FMLE",4,0,0,20,0,8,0
"TGO","MLE",4,0,0,20,0,8,0
"THA","BTSX",4,1,7,20,1,8,7
"THA","FMLE",4,0,0,20,0,8,0
"THA","MLE",4,0,0,20,0,8,0
"TJK","BTSX",4,1,6,20,1,0,6
"TJK","FMLE",4,0,0,20,0,0,0
"TJK","MLE",4,0,0,20,0,0,0
"TKM","BTSX",4,1,7,20,1,8,7
"TKM","FMLE",4,0,0,20,0,8,0
"TKM","MLE",4,0,0,20,0,8,0
"TLS","BTSX",4,0,7,20,1,8,6
"TLS","FMLE",4,0,0,20,0,8,0
"TLS","MLE",4,0,0,20,0,8,0
"TON","BTSX",4,1,7,20,1,8,7
"TON","FMLE",4,0,0,20,0,8,0
"TON","MLE",4,0,0,20,0,8,0
