"ID","CountryCode","Year","GenderCode","TobaccoPrevalence","LifeExpectancy","Mortality","LowestPricEstTobacco","PremiumPricEstTobacco","MediumPriceEstTobacco","TotalTax","cost_mean","MediumPriceEstTobacco_who","AveragePrev","TobaccoPrevalence_who"
"CAF2014F","CAF",2014,"FMLE",NA,NA,33.32,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2014M","CAF",2014,"MLE",NA,NA,43.75,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2016B","CAF",2016,"BTSX",NA,NA,37.42,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2016F","CAF",2016,"FMLE",NA,NA,32.59,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2016M","CAF",2016,"MLE",NA,NA,42.92,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2017B","CAF",2017,"BTSX",NA,NA,37.11,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2017F","CAF",2017,"FMLE",NA,NA,32.31,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2017M","CAF",2017,"MLE",NA,NA,42.58,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2018B","CAF",2018,"BTSX",NA,NA,36.46,NA,NA,"550","0.42",NA,NA,NA,NA
"CAF2018F","CAF",2018,"FMLE",NA,NA,32.12,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2018M","CAF",2018,"MLE",NA,NA,41.51,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2001B","CIV",2001,"BTSX",NA,NA,27.65,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2001F","CIV",2001,"FMLE",NA,NA,22.71,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2001M","CIV",2001,"MLE",NA,NA,31.45,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2002B","CIV",2002,"BTSX",NA,NA,27.23,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2002F","CIV",2002,"FMLE",NA,NA,22.45,NA,NA,NA,NA,NA,NA,NA,NA
